,State,<S^2>,NO Energy (Ha),Energy (Ha),Fe Charge,HONO-1,HONO,LUNO,LUNO+1
0,1_A,0.0,-2497.9659279762823,-2497.97301751553,0.91819,1.7702665334111203,1.5750795574274585,0.4236443135493695,0.2306682042449586
1,1_B,0.0,-2498.020216717314,-2498.02572105414,0.84797,1.7633520726768461,1.730329395530625,0.2698861871657185,0.2367387562844733
2,1_C,0.0,-2497.918955228442,-2497.93662069768,0.80913,1.937093171779401,1.819531358050984,0.18022790608997588,0.0698894263547134
3,3_A,2.0,-2498.0247146232077,-2498.02891931971,0.79132,1.9003792767646681,1.0023167582332804,0.9970870497697273,0.1051280481995563
4,3_B,2.0,-2498.0013500403393,-2498.02031015505,0.78717,1.9073580467568678,1.0021488225380497,0.9972359364989662,0.09824311397241943
5,3_C,2.0,-2497.950778608404,-2497.942470246,0.87285,1.8909952768047489,0.9976069588053484,0.9968572443638845,0.11295915908501672
